"","item_id","language","form","form_type","item_kind","category","item_definition","english_gloss","uni_lemma","lexical_category","complexity_category"
"22","item_22","Spanish (European)","WS","WS","word","games_routines","a dormir","go to sleep","sleep","other",NA
"23","item_23","Spanish (European)","WS","WS","word","games_routines","a ver","let’s see","see","other",NA
"24","item_24","Spanish (European)","WS","WS","word","games_routines","a vestir","dress (action)","dress (action)","other",NA
"25","item_25","Spanish (European)","WS","WS","word","games_routines","besitos","kisses","kiss","other",NA
"26","item_26","Spanish (European)","WS","WS","word","games_routines","bueno (bien)","okay","ok","other",NA
"27","item_27","Spanish (European)","WS","WS","word","games_routines","buenos días/noches","good morning / good night","good morning","other",NA
"28","item_28","Spanish (European)","WS","WS","word","games_routines","cariño","affection",NA,"other",NA
"29","item_29","Spanish (European)","WS","WS","word","games_routines","cinco lobitos","five little wolves",NA,"other",NA
"30","item_30","Spanish (European)","WS","WS","word","games_routines","cochino","nasty","nasty","other",NA
"31","item_31","Spanish (European)","WS","WS","word","games_routines","cuidado","watch out",NA,"other",NA
"32","item_32","Spanish (European)","WS","WS","word","games_routines","déjame","let me",NA,"other",NA
"33","item_33","Spanish (European)","WS","WS","word","games_routines","eso no","not that","don't","other",NA
"34","item_34","Spanish (European)","WS","WS","word","games_routines","espera","wait","wait","other",NA
"35","item_35","Spanish (European)","WS","WS","word","games_routines","estáte quieto","be quiet","shh","other",NA
"36","item_36","Spanish (European)","WS","WS","word","games_routines","gracias","thank you","thank you","other",NA
"37","item_37","Spanish (European)","WS","WS","word","games_routines","hasta luego/hasta mañana","see you later",NA,"other",NA
"38","item_38","Spanish (European)","WS","WS","word","games_routines","hola/adiós","hello/goodbye","hello","other",NA
"39","item_39","Spanish (European)","WS","WS","word","games_routines","mira","look/watch","look","other",NA
"40","item_40","Spanish (European)","WS","WS","word","games_routines","no","no","no","other",NA
"41","item_41","Spanish (European)","WS","WS","word","games_routines","palmas palmitas","NA",NA,"other",NA
"42","item_42","Spanish (European)","WS","WS","word","games_routines","por favor","please","please","other",NA
"43","item_43","Spanish (European)","WS","WS","word","games_routines","¿por qué?","why","why","other",NA
"44","item_44","Spanish (European)","WS","WS","word","games_routines","¿qué pasa?","what's up?",NA,"other",NA
"45","item_45","Spanish (European)","WS","WS","word","games_routines","se acabó","It’s gone","all gone","other",NA
"46","item_46","Spanish (European)","WS","WS","word","games_routines","te quiero","I love you",NA,"other",NA
"47","item_47","Spanish (European)","WS","WS","word","games_routines","tonto/a","silly","silly","other",NA
"48","item_48","Spanish (European)","WS","WS","word","games_routines","vale","okay","ok","other",NA
"49","item_49","Spanish (European)","WS","WS","word","games_routines","vamos","we go",NA,"other",NA
"50","item_50","Spanish (European)","WS","WS","word","games_routines","ya está","it’s done","all done","other",NA
"51","item_51","Spanish (European)","WS","WS","word","animals","animal","animal","animal","nouns",NA
"52","item_52","Spanish (European)","WS","WS","word","animals","araña","spider","spider","nouns",NA
"53","item_53","Spanish (European)","WS","WS","word","animals","abeja","bee","bee","nouns",NA
"54","item_54","Spanish (European)","WS","WS","word","animals","bicho","bug","bug","nouns",NA
"55","item_55","Spanish (European)","WS","WS","word","animals","burro","donkey","donkey","nouns",NA
"56","item_56","Spanish (European)","WS","WS","word","animals","caballo","horse","horse","nouns",NA
"57","item_57","Spanish (European)","WS","WS","word","animals","caracol","snail","snail","nouns",NA
"58","item_58","Spanish (European)","WS","WS","word","animals","cebras","zebra","zebra","nouns",NA
"59","item_59","Spanish (European)","WS","WS","word","animals","cerdo","pig","pig","nouns",NA
"60","item_60","Spanish (European)","WS","WS","word","animals","cocodrilo","crocodile","crocodile","nouns",NA
"61","item_61","Spanish (European)","WS","WS","word","animals","conejo","rabbit","bunny","nouns",NA
"62","item_62","Spanish (European)","WS","WS","word","animals","dinosaurio","dinosaur","dinosaur","nouns",NA
"63","item_63","Spanish (European)","WS","WS","word","animals","elefante","elephant","elephant","nouns",NA
"64","item_64","Spanish (European)","WS","WS","word","animals","gallina","chicken","chicken (animal)","nouns",NA
"65","item_65","Spanish (European)","WS","WS","word","animals","gato","cat","cat","nouns",NA
"66","item_66","Spanish (European)","WS","WS","word","animals","gusano","worm","worm","nouns",NA
"67","item_67","Spanish (European)","WS","WS","word","animals","hormiga","ant","ant","nouns",NA
"68","item_68","Spanish (European)","WS","WS","word","animals","jirafa","giraffe","giraffe","nouns",NA
"69","item_69","Spanish (European)","WS","WS","word","animals","león","lion","lion","nouns",NA
"70","item_70","Spanish (European)","WS","WS","word","animals","lobo","wolf","wolf","nouns",NA
"71","item_71","Spanish (European)","WS","WS","word","animals","loro","parrot","parrot","nouns",NA
"72","item_72","Spanish (European)","WS","WS","word","animals","mariposa","butterfly","butterfly","nouns",NA
"73","item_73","Spanish (European)","WS","WS","word","animals","mariquita","ladybug","ladybug","nouns",NA
"74","item_74","Spanish (European)","WS","WS","word","animals","mono","monkey","monkey","nouns",NA
"75","item_75","Spanish (European)","WS","WS","word","animals","mosca","fly","fly (animal)","nouns",NA
"76","item_76","Spanish (European)","WS","WS","word","animals","oso","bear","bear","nouns",NA
"77","item_77","Spanish (European)","WS","WS","word","animals","oveja","sheep","sheep","nouns",NA
"78","item_78","Spanish (European)","WS","WS","word","animals","paloma","dove","pigeon","nouns",NA
"79","item_79","Spanish (European)","WS","WS","word","animals","pájaro","bird","bird","nouns",NA
"80","item_80","Spanish (European)","WS","WS","word","animals","pantera","panther","panther","nouns",NA
"81","item_81","Spanish (European)","WS","WS","word","animals","pato","duck","duck","nouns",NA
"82","item_82","Spanish (European)","WS","WS","word","animals","perro","dog","dog","nouns",NA
"83","item_83","Spanish (European)","WS","WS","word","animals","pez","fish","fish (animal)","nouns",NA
"84","item_84","Spanish (European)","WS","WS","word","animals","pollito","chick","chick","nouns",NA
"85","item_85","Spanish (European)","WS","WS","word","animals","rana","frog","frog","nouns",NA
"86","item_86","Spanish (European)","WS","WS","word","animals","rata","rat","rat","nouns",NA
"87","item_87","Spanish (European)","WS","WS","word","animals","ratón","mouse","mouse","nouns",NA
"88","item_88","Spanish (European)","WS","WS","word","animals","serpiente","snake","snake","nouns",NA
"89","item_89","Spanish (European)","WS","WS","word","animals","tigre","tiger","tiger","nouns",NA
"90","item_90","Spanish (European)","WS","WS","word","animals","toro","bull","bull","nouns",NA
"91","item_91","Spanish (European)","WS","WS","word","animals","tortuga","turtle","turtle","nouns",NA
"92","item_92","Spanish (European)","WS","WS","word","animals","vaca","cow","cow","nouns",NA
"93","item_93","Spanish (European)","WS","WS","word","animals","zorro","fox","fox","nouns",NA
"94","item_94","Spanish (European)","WS","WS","word","people","abuelo (yayo)","grandpa","grandpa","other",NA
"95","item_95","Spanish (European)","WS","WS","word","people","abuela (yaya)","grandma","grandma","other",NA
"96","item_96","Spanish (European)","WS","WS","word","people","bruja","witch","witch","other",NA
"97","item_97","Spanish (European)","WS","WS","word","people","coco","bogeyman","boogeyman","other",NA
"98","item_98","Spanish (European)","WS","WS","word","people","hermano","brother","brother","other",NA
"99","item_99","Spanish (European)","WS","WS","word","people","hermana","sister","sister","other",NA
"100","item_100","Spanish (European)","WS","WS","word","people","familia","family","family","other",NA
"101","item_101","Spanish (European)","WS","WS","word","people","mamá (mami)","mommy","mommy","other",NA
"102","item_102","Spanish (European)","WS","WS","word","people","nene/a","baby","baby","other",NA
"103","item_103","Spanish (European)","WS","WS","word","people","nombre propio*","child's own name","child's own name","other",NA
"104","item_104","Spanish (European)","WS","WS","word","people","nombre propio*","child's own name","child's own name","other",NA
"105","item_105","Spanish (European)","WS","WS","word","people","nombre propio*","child's own name","child's own name","other",NA
"106","item_106","Spanish (European)","WS","WS","word","people","novio/a","boyfriend/girlfriend",NA,"other",NA
"107","item_107","Spanish (European)","WS","WS","word","people","papá (papi)","daddy","daddy","other",NA
"108","item_108","Spanish (European)","WS","WS","word","people","primo","cousin","cousin","other",NA
"109","item_109","Spanish (European)","WS","WS","word","people","prima","cousin","cousin","other",NA
"110","item_110","Spanish (European)","WS","WS","word","people","señor/a","mister/miss",NA,"other",NA
"111","item_111","Spanish (European)","WS","WS","word","people","sobrino","nephew","nephew","other",NA
"112","item_112","Spanish (European)","WS","WS","word","people","sobrina","niece","niece","other",NA
"113","item_113","Spanish (European)","WS","WS","word","people","tata","babysitter","babysitter","other",NA
"114","item_114","Spanish (European)","WS","WS","word","people","tío","uncle","uncle","other",NA
"115","item_115","Spanish (European)","WS","WS","word","people","tía","aunt","aunt","other",NA
"116","item_116","Spanish (European)","WS","WS","word","body_parts","barba","beard","beard","nouns",NA
"117","item_117","Spanish (European)","WS","WS","word","body_parts","barbilla","chin","chin","nouns",NA
"118","item_118","Spanish (European)","WS","WS","word","body_parts","barriga","belly","tummy","nouns",NA
"119","item_119","Spanish (European)","WS","WS","word","body_parts","bigote","mustache","mustache","nouns",NA
"120","item_120","Spanish (European)","WS","WS","word","body_parts","brazos","arms","arm","nouns",NA
"121","item_121","Spanish (European)","WS","WS","word","body_parts","cara","face","face","nouns",NA
"122","item_122","Spanish (European)","WS","WS","word","body_parts","cejas","eyebrows","eyebrow","nouns",NA
"123","item_123","Spanish (European)","WS","WS","word","body_parts","cuello","neck","neck","nouns",NA
"124","item_124","Spanish (European)","WS","WS","word","body_parts","culo","butt","butt","nouns",NA
"125","item_125","Spanish (European)","WS","WS","word","body_parts","dedo/s","finger","finger","nouns",NA
"126","item_126","Spanish (European)","WS","WS","word","body_parts","dientes","teeth","tooth","nouns",NA
"127","item_127","Spanish (European)","WS","WS","word","body_parts","labios","lips","lip","nouns",NA
"128","item_128","Spanish (European)","WS","WS","word","body_parts","lengua","tongue","tongue","nouns",NA
"129","item_129","Spanish (European)","WS","WS","word","body_parts","lunar","mole (skin)",NA,"nouns",NA
"130","item_130","Spanish (European)","WS","WS","word","body_parts","mano/s","hand","hand","nouns",NA
"131","item_131","Spanish (European)","WS","WS","word","body_parts","nariz","nose","nose","nouns",NA
"132","item_132","Spanish (European)","WS","WS","word","body_parts","ojos","eyes","eye","nouns",NA
"133","item_133","Spanish (European)","WS","WS","word","body_parts","ombligo","belly button","belly button","nouns",NA
"134","item_134","Spanish (European)","WS","WS","word","body_parts","oreja/s","ear","ear","nouns",NA
"135","item_135","Spanish (European)","WS","WS","word","body_parts","pié/s","foot","foot","nouns",NA
"136","item_136","Spanish (European)","WS","WS","word","body_parts","pierna/s (pata/s)","leg","leg","nouns",NA
"137","item_137","Spanish (European)","WS","WS","word","body_parts","rodillas","knee","knee","nouns",NA
"138","item_138","Spanish (European)","WS","WS","word","body_parts","tripa","gut","gut","nouns",NA
"139","item_139","Spanish (European)","WS","WS","word","body_parts","uña","fingernail","fingernail","nouns",NA
"140","item_140","Spanish (European)","WS","WS","word","toys","balón","ball","ball","nouns",NA
"141","item_141","Spanish (European)","WS","WS","word","toys","bolígrafo/boli","pen","pen","nouns",NA
"142","item_142","Spanish (European)","WS","WS","word","toys","caja","box","box","nouns",NA
"143","item_143","Spanish (European)","WS","WS","word","toys","cartas","cards","card","nouns",NA
"144","item_144","Spanish (European)","WS","WS","word","toys","cubo","block","blocks","nouns",NA
"145","item_145","Spanish (European)","WS","WS","word","toys","cuento/libro","book","book","nouns",NA
"146","item_146","Spanish (European)","WS","WS","word","toys","cocinitas","kitchen toys?",NA,"nouns",NA
"147","item_147","Spanish (European)","WS","WS","word","toys","fotos (cámara)","photos","photo","nouns",NA
"148","item_148","Spanish (European)","WS","WS","word","toys","fútbol","soccer ball","ball","nouns",NA
"149","item_149","Spanish (European)","WS","WS","word","toys","globo","balloon","balloon","nouns",NA
"150","item_150","Spanish (European)","WS","WS","word","toys","gol","goal","goal","nouns",NA
"151","item_151","Spanish (European)","WS","WS","word","toys","guitarra","guitar","guitar","nouns",NA
"152","item_152","Spanish (European)","WS","WS","word","toys","juguete","toy","toy (object)","nouns",NA
"153","item_153","Spanish (European)","WS","WS","word","toys","lápiz","pencil","pen/pencil","nouns",NA
"154","item_154","Spanish (European)","WS","WS","word","toys","muñeca","doll","doll","nouns",NA
"155","item_155","Spanish (European)","WS","WS","word","toys","música","music","music","nouns",NA
"156","item_156","Spanish (European)","WS","WS","word","toys","osito","teddybear","teddybear","nouns",NA
"157","item_157","Spanish (European)","WS","WS","word","toys","palo","stick","stick","nouns",NA
"158","item_158","Spanish (European)","WS","WS","word","toys","papel","paper","paper","nouns",NA
"159","item_159","Spanish (European)","WS","WS","word","toys","payaso","clown","clown","nouns",NA
"160","item_160","Spanish (European)","WS","WS","word","toys","pelota","ball","ball","nouns",NA
"161","item_161","Spanish (European)","WS","WS","word","toys","piano","piano","piano","nouns",NA
"162","item_162","Spanish (European)","WS","WS","word","toys","pintura","painting","painting","nouns",NA
"163","item_163","Spanish (European)","WS","WS","word","toys","puzzle/rompecabezas","puzzle","puzzle","nouns",NA
"164","item_164","Spanish (European)","WS","WS","word","toys","pulsera","bracelet","bracelet","nouns",NA
"165","item_165","Spanish (European)","WS","WS","word","toys","raqueta","racket","racket","nouns",NA
"166","item_166","Spanish (European)","WS","WS","word","toys","rastrillo","rake","rake (object)","nouns",NA
"167","item_167","Spanish (European)","WS","WS","word","toys","rueda","wheel","wheel","nouns",NA
"168","item_168","Spanish (European)","WS","WS","word","toys","tambor","drum","drum (object)","nouns",NA
"169","item_169","Spanish (European)","WS","WS","word","vehicles","ambulancia","ambulance","ambulance","nouns",NA
"170","item_170","Spanish (European)","WS","WS","word","vehicles","autobús/bus","bus","bus","nouns",NA
"171","item_171","Spanish (European)","WS","WS","word","vehicles","avión","airplane","airplane","nouns",NA
"172","item_172","Spanish (European)","WS","WS","word","vehicles","barco","boat","boat","nouns",NA
"173","item_173","Spanish (European)","WS","WS","word","vehicles","bici","bicycle","bicycle","nouns",NA
"174","item_174","Spanish (European)","WS","WS","word","vehicles","camión","truck","truck","nouns",NA
"175","item_175","Spanish (European)","WS","WS","word","vehicles","carro/carrito","trolley","trolley","nouns",NA
"176","item_176","Spanish (European)","WS","WS","word","vehicles","coche","car","car","nouns",NA
"177","item_177","Spanish (European)","WS","WS","word","vehicles","coche policía","police car","police car","nouns",NA
"178","item_178","Spanish (European)","WS","WS","word","vehicles","grúa","crane","crane","nouns",NA
"179","item_179","Spanish (European)","WS","WS","word","vehicles","helicóptero","helicopter","helicopter","nouns",NA
"180","item_180","Spanish (European)","WS","WS","word","vehicles","moto","motorcycle","motorcycle","nouns",NA
"181","item_181","Spanish (European)","WS","WS","word","vehicles","patines","skates","skate (object)","nouns",NA
"182","item_182","Spanish (European)","WS","WS","word","vehicles","tractor","tractor","tractor","nouns",NA
"183","item_183","Spanish (European)","WS","WS","word","vehicles","tren","train","train","nouns",NA
"184","item_184","Spanish (European)","WS","WS","word","vehicles","triciclo","tricycle","tricycle","nouns",NA
"185","item_185","Spanish (European)","WS","WS","word","food_drink","aceituna/s","olive","olive","nouns",NA
"186","item_186","Spanish (European)","WS","WS","word","food_drink","agua","water","water (beverage)","nouns",NA
"187","item_187","Spanish (European)","WS","WS","word","food_drink","arroz","rice","rice","nouns",NA
"188","item_188","Spanish (European)","WS","WS","word","food_drink","azúcar","sugar","sugar","nouns",NA
"189","item_189","Spanish (European)","WS","WS","word","food_drink","batido","smoothie","smoothie","nouns",NA
"190","item_190","Spanish (European)","WS","WS","word","food_drink","biberón","bottle","bottle","nouns",NA
"191","item_191","Spanish (European)","WS","WS","word","food_drink","bizcocho","cake","cake","nouns",NA
"192","item_192","Spanish (European)","WS","WS","word","food_drink","bocadillo","sandwich/snack","sandwich","nouns",NA
"193","item_193","Spanish (European)","WS","WS","word","food_drink","bollo","bun","bun","nouns",NA
"194","item_194","Spanish (European)","WS","WS","word","food_drink","caramelo","candy","candy","nouns",NA
"195","item_195","Spanish (European)","WS","WS","word","food_drink","carne (chicha)","meat","meat","nouns",NA
"196","item_196","Spanish (European)","WS","WS","word","food_drink","cereales","cereal","cereal","nouns",NA
"197","item_197","Spanish (European)","WS","WS","word","food_drink","chocolate","chocolate","chocolate","nouns",NA
"198","item_198","Spanish (European)","WS","WS","word","food_drink","chorizo","sausage","sausage","nouns",NA
"199","item_199","Spanish (European)","WS","WS","word","food_drink","chuches","sweets","sweets","nouns",NA
"200","item_200","Spanish (European)","WS","WS","word","food_drink","chupa-chups","lollipop","lollipop","nouns",NA
"201","item_201","Spanish (European)","WS","WS","word","food_drink","colacao","chocolate drink","cocoa","nouns",NA
"202","item_202","Spanish (European)","WS","WS","word","food_drink","comida","food","food","nouns",NA
"203","item_203","Spanish (European)","WS","WS","word","food_drink","croqueta/s","croquette","croquette","nouns",NA
"204","item_204","Spanish (European)","WS","WS","word","food_drink","filete","steak","steak","nouns",NA
"205","item_205","Spanish (European)","WS","WS","word","food_drink","fresa/s","strawberry","strawberry","nouns",NA
"206","item_206","Spanish (European)","WS","WS","word","food_drink","fruta","fruit","fruit","nouns",NA
"207","item_207","Spanish (European)","WS","WS","word","food_drink","galleta","cookie","cookie","nouns",NA
"208","item_208","Spanish (European)","WS","WS","word","food_drink","gusanitos","chips","chips","nouns",NA
"209","item_209","Spanish (European)","WS","WS","word","food_drink","helado","ice cream","ice cream","nouns",NA
"210","item_210","Spanish (European)","WS","WS","word","food_drink","huevo","egg","egg","nouns",NA
"211","item_211","Spanish (European)","WS","WS","word","food_drink","jamón (york)","ham","ham","nouns",NA
"212","item_212","Spanish (European)","WS","WS","word","food_drink","leche","milk","milk","nouns",NA
"213","item_213","Spanish (European)","WS","WS","word","food_drink","lechuga","lettuce","lettuce","nouns",NA
"214","item_214","Spanish (European)","WS","WS","word","food_drink","lentejas","lentils","beans","nouns",NA
"215","item_215","Spanish (European)","WS","WS","word","food_drink","limón","lemon","lemon","nouns",NA
"216","item_216","Spanish (European)","WS","WS","word","food_drink","macarrones","macaroni","pasta","nouns",NA
"217","item_217","Spanish (European)","WS","WS","word","food_drink","mandarina","tangerine","tangerine","nouns",NA
"218","item_218","Spanish (European)","WS","WS","word","food_drink","manzana","apple","apple","nouns",NA
"219","item_219","Spanish (European)","WS","WS","word","food_drink","melón","melon/cantaloupe","melon","nouns",NA
"220","item_220","Spanish (European)","WS","WS","word","food_drink","naranja","orange","orange (food)","nouns",NA
"221","item_221","Spanish (European)","WS","WS","word","food_drink","nesquic","chocolate milk",NA,"nouns",NA
"222","item_222","Spanish (European)","WS","WS","word","food_drink","paella","paella..rice pilaf?",NA,"nouns",NA
"223","item_223","Spanish (European)","WS","WS","word","food_drink","pan","bread","bread","nouns",NA
"224","item_224","Spanish (European)","WS","WS","word","food_drink","pastel","pie","pie","nouns",NA
"225","item_225","Spanish (European)","WS","WS","word","food_drink","patata/s","potato","potato","nouns",NA
"226","item_226","Spanish (European)","WS","WS","word","food_drink","pera","pear","pear","nouns",NA
"227","item_227","Spanish (European)","WS","WS","word","food_drink","pescado","fish","fish (food)","nouns",NA
"228","item_228","Spanish (European)","WS","WS","word","food_drink","piruleta","lollipop","lollipop","nouns",NA
"229","item_229","Spanish (European)","WS","WS","word","food_drink","plátano","plantain","plantain","nouns",NA
"230","item_230","Spanish (European)","WS","WS","word","food_drink","pollo","chicken (food)","chicken (food)","nouns",NA
"231","item_231","Spanish (European)","WS","WS","word","food_drink","potito","baby food","applesauce","nouns",NA
"232","item_232","Spanish (European)","WS","WS","word","food_drink","puré","puree",NA,"nouns",NA
"233","item_233","Spanish (European)","WS","WS","word","food_drink","queso (quesitos)","cheese","cheese","nouns",NA
"234","item_234","Spanish (European)","WS","WS","word","food_drink","salchicha/s","sausage","sausage","nouns",NA
"235","item_235","Spanish (European)","WS","WS","word","food_drink","sandía","watermelon","watermelon","nouns",NA
"236","item_236","Spanish (European)","WS","WS","word","food_drink","sopa","soup","soup","nouns",NA
"237","item_237","Spanish (European)","WS","WS","word","food_drink","tarta","cake","cake","nouns",NA
"238","item_238","Spanish (European)","WS","WS","word","food_drink","tomate","tomato","tomato","nouns",NA
"239","item_239","Spanish (European)","WS","WS","word","food_drink","torilla","tortilla=potato omelette?",NA,"nouns",NA
"240","item_240","Spanish (European)","WS","WS","word","food_drink","uvas","grapes","grapes","nouns",NA
"241","item_241","Spanish (European)","WS","WS","word","food_drink","yogur","yogurt","yogurt","nouns",NA
"242","item_242","Spanish (European)","WS","WS","word","food_drink","zanahoria","carrot","carrot","nouns",NA
"243","item_243","Spanish (European)","WS","WS","word","food_drink","zumo","juice","juice","nouns",NA
"244","item_244","Spanish (European)","WS","WS","word","clothing","abrigo","coat","coat","nouns",NA
"245","item_245","Spanish (European)","WS","WS","word","clothing","babero","bib","bib","nouns",NA
"246","item_246","Spanish (European)","WS","WS","word","clothing","baby","NA",NA,"nouns",NA
"247","item_247","Spanish (European)","WS","WS","word","clothing","bañador","swimsuit","swimsuit","nouns",NA
"248","item_248","Spanish (European)","WS","WS","word","clothing","body","NA",NA,"nouns",NA
"249","item_249","Spanish (European)","WS","WS","word","clothing","bota/s","boots","boots","nouns",NA
"250","item_250","Spanish (European)","WS","WS","word","clothing","botón","button","button","nouns",NA
"251","item_251","Spanish (European)","WS","WS","word","clothing","bufanda","scarf","scarf","nouns",NA
"252","item_252","Spanish (European)","WS","WS","word","clothing","calcetín/es","socks","sock","nouns",NA
"253","item_253","Spanish (European)","WS","WS","word","clothing","camiseta","shirt","shirt","nouns",NA
"254","item_254","Spanish (European)","WS","WS","word","clothing","chaqueta","jacket","jacket","nouns",NA
"255","item_255","Spanish (European)","WS","WS","word","clothing","cinturón","belt","belt","nouns",NA
"256","item_256","Spanish (European)","WS","WS","word","clothing","cremallera","zipper","zipper","nouns",NA
"257","item_257","Spanish (European)","WS","WS","word","clothing","falda","skirt","skirt","nouns",NA
"258","item_258","Spanish (European)","WS","WS","word","clothing","gafas","glasses","glasses","nouns",NA
"259","item_259","Spanish (European)","WS","WS","word","clothing","gorro","hat","hat","nouns",NA
"260","item_260","Spanish (European)","WS","WS","word","clothing","guantes","gloves","glove","nouns",NA
"261","item_261","Spanish (European)","WS","WS","word","clothing","jersey","sweater","sweater","nouns",NA
"262","item_262","Spanish (European)","WS","WS","word","clothing","pantalón/es","pants","pants","nouns",NA
"263","item_263","Spanish (European)","WS","WS","word","clothing","pañal","diaper","diaper","nouns",NA
"264","item_264","Spanish (European)","WS","WS","word","clothing","pendientes","earrings","earring","nouns",NA
"265","item_265","Spanish (European)","WS","WS","word","clothing","pijima","pajamas","pajamas","nouns",NA
"266","item_266","Spanish (European)","WS","WS","word","clothing","ropa","clothing","clothes","nouns",NA
"267","item_267","Spanish (European)","WS","WS","word","clothing","sandalia","sandal","sandal","nouns",NA
"268","item_268","Spanish (European)","WS","WS","word","clothing","sombrero","hat","hat","nouns",NA
"269","item_269","Spanish (European)","WS","WS","word","clothing","vestido","dress","dress (object)","nouns",NA
"270","item_270","Spanish (European)","WS","WS","word","clothing","zapatilla/s","sneakers","sneaker","nouns",NA
"271","item_271","Spanish (European)","WS","WS","word","clothing","zapato/s","shoes","shoe","nouns",NA
"272","item_272","Spanish (European)","WS","WS","word","outside_places","árbol","tree","tree","other",NA
"273","item_273","Spanish (European)","WS","WS","word","outside_places","arena/tierra","sand/land","ground","other",NA
"274","item_274","Spanish (European)","WS","WS","word","outside_places","banco","bank","bank","other",NA
"275","item_275","Spanish (European)","WS","WS","word","outside_places","caballitos","little horses","pony","other",NA
"276","item_276","Spanish (European)","WS","WS","word","outside_places","calle","street","street","other",NA
"277","item_277","Spanish (European)","WS","WS","word","outside_places","campo","countryside","country","other",NA
"278","item_278","Spanish (European)","WS","WS","word","outside_places","casa","home","house","other",NA
"279","item_279","Spanish (European)","WS","WS","word","outside_places","cielo","sky","sky","other",NA
"280","item_280","Spanish (European)","WS","WS","word","outside_places","cole","school","school","other",NA
"281","item_281","Spanish (European)","WS","WS","word","outside_places","columpio","swing","swing (object)","other",NA
"282","item_282","Spanish (European)","WS","WS","word","outside_places","estrella","star","star","other",NA
"283","item_283","Spanish (European)","WS","WS","word","outside_places","fiesta","party","party","other",NA
"284","item_284","Spanish (European)","WS","WS","word","outside_places","flor","flower","flower","other",NA
"285","item_285","Spanish (European)","WS","WS","word","outside_places","guardería","kindergarten","kindergarten","other",NA
"286","item_286","Spanish (European)","WS","WS","word","outside_places","hierba/césped","grass","grass","other",NA
"287","item_287","Spanish (European)","WS","WS","word","outside_places","jardín","yard/garden","yard","other",NA
"288","item_288","Spanish (European)","WS","WS","word","outside_places","luna","moon","moon","other",NA
"289","item_289","Spanish (European)","WS","WS","word","outside_places","lluvia","rain","rain","other",NA
"290","item_290","Spanish (European)","WS","WS","word","outside_places","mar","sea","sea","other",NA
"291","item_291","Spanish (European)","WS","WS","word","outside_places","metro","subway","subway","other",NA
"292","item_292","Spanish (European)","WS","WS","word","outside_places","nieve","snow","snow","other",NA
"293","item_293","Spanish (European)","WS","WS","word","outside_places","nube","cloud","cloud","other",NA
"294","item_294","Spanish (European)","WS","WS","word","outside_places","parque","park","park","other",NA
"295","item_295","Spanish (European)","WS","WS","word","outside_places","piedra","stone","stone","other",NA
"296","item_296","Spanish (European)","WS","WS","word","outside_places","piscina","pool","pool","other",NA
"297","item_297","Spanish (European)","WS","WS","word","outside_places","planta","plant","plant","other",NA
"298","item_298","Spanish (European)","WS","WS","word","outside_places","playa","beach","beach","other",NA
"299","item_299","Spanish (European)","WS","WS","word","outside_places","plaza","plaza","plaza","other",NA
"300","item_300","Spanish (European)","WS","WS","word","outside_places","sol","sun","sun","other",NA
"301","item_301","Spanish (European)","WS","WS","word","outside_places","tienda","store","store","other",NA
"302","item_302","Spanish (European)","WS","WS","word","outside_places","tobogán","sled","sled","other",NA
"303","item_303","Spanish (European)","WS","WS","word","outside_places","zoo","zoo","zoo","other",NA
